show_id,type,title,director,date_added,release_year,rating,duration,listed_in,country1
s1882,Movie,American Pie 9: Girls' Rules,Mike Elliott,2020-10-06,2020,R,96 min,Comedies,United States
s1883,Movie,Dolly Parton: Here I Am,Francis Whately,2020-10-06,2019,TV-14,90 min,"Documentaries, Music & Musicals",United Kingdom
s1884,Movie,StarBeam: Halloween Hero,Jon Izen,2020-10-06,2020,TV-Y,33 min,Children & Family Movies,Canada
s1885,Movie,Walk Away from Love,Christopher Nolen,2020-10-06,2017,TV-14,81 min,"Dramas, Romantic Movies",United States
s1886,TV Show,Bad Boy Billionaires: India,Not Given,2020-10-05,2020,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows",India
s1887,Movie,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",2020-10-04,2020,PG,84 min,Documentaries,United States
s1888,Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,2020-10-03,2020,TV-MA,44 min,"Documentaries, LGBTQ Movies",Canada
s1889,Movie,Good Game: The Beginning,Umut Aral,2020-10-03,2018,TV-14,115 min,"Dramas, International Movies, Sports Movies",Turkey
s1890,TV Show,Pat a Pat Como,Not Given,2020-10-03,2016,TV-Y,1 Season,Kids' TV,South Korea
s1891,TV Show,Qurious Como,Not Given,2020-10-03,2017,TV-Y,1 Season,Kids' TV,South Korea
s1892,Movie,A Chaster Marriage,Umut Kirca,2020-10-02,2016,TV-14,94 min,"Comedies, International Movies, Romantic Movies",Turkey
s1893,Movie,A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore",2020-10-02,2020,TV-Y,22 min,Children & Family Movies,United States
s1894,TV Show,DreamWorks Happy Holidays from Madagascar,Not Given,2020-10-02,2005,TV-PG,1 Season,"Kids' TV, TV Comedies",United States
s1895,TV Show,Emily in Paris,Not Given,2020-10-02,2020,TV-MA,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",United States
s1896,TV Show,H2O: Just Add Water,Not Given,2020-10-02,2009,TV-PG,3 Seasons,"Kids' TV, TV Dramas",Australia
s1897,Movie,Òlòtūré,Kenneth Gyang,2020-10-02,2020,TV-MA,107 min,"Dramas, International Movies",Nigeria
s1898,Movie,Serious Men,Sudhir Mishra,2020-10-02,2020,TV-MA,115 min,"Comedies, Dramas, International Movies",India
s1899,Movie,The Binding,Domenico de Feudis,2020-10-02,2020,TV-MA,93 min,"Horror Movies, International Movies, Thrillers",Italy
s1900,Movie,Turkish Dance School,Burak Aksak,2020-10-02,2017,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",Turkey
s1901,Movie,Vampires vs. the Bronx,Oz Rodriguez,2020-10-02,2020,PG-13,86 min,"Comedies, Horror Movies",United States
s1902,Movie,You've Got This,Salvador Espinosa,2020-10-02,2020,TV-MA,112 min,"Comedies, International Movies, Romantic Movies",Mexico
s1903,Movie,All Because of You,Adrian Teh,2020-10-01,2020,TV-PG,102 min,"Action & Adventure, Comedies, International Movies",Malaysia
s1904,Movie,An Ordinary Man,Brad Silberling,2020-10-01,2017,R,91 min,"Dramas, Thrillers",Serbia
